"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2007","Test1 GET all bookings","Chromium","2026-07-28","passed","2026-07-28","","APITesting\allRequests.spec.js","",""
"","1513","Test6 Edge case - negative total price","Chromium","2026-07-28","failed","2026-07-28","","APITesting\postTestCases.spec.js","",""
"","324","Test 1 GET request","API Tests","2026-07-22","passed","2026-07-22","","APITesting\allRequests.spec.js","",""
"","1646","Test 1 - Remove a single item from the wishlist","Chromium","2026-07-28","passed","2026-07-28","Scenario 5 - Add Product to Wishlist and Remove It","wishlistAddRemove.spec.js","",""
"","1622","Test6 DELETE booking","Chromium","2026-07-28","passed","2026-07-28","","APITesting\allRequests.spec.js","",""
"","1872","Test 2 - Rename the wishlist","Chromium","2026-07-28","passed","2026-07-28","Scenario 5 - Add Product to Wishlist and Remove It","wishlistAddRemove.spec.js","",""
"","297","Test 1 GET request","Chromium","2026-07-22","passed","2026-07-22","","APITesting\allRequests.spec.js","",""
"","1726","Test4 POST negative case - Empty request body","Chromium","2026-07-28","failed","2026-07-28","","APITesting\postTestCases.spec.js","",""
"","6731","Download PDF file","Chromium","2026-07-28","passed","2026-07-28","","UploadDownload.spec.js","",""
"","16","Test 2 - Remove a single item from the wishlist","Chromium","2026-07-28","skipped","2026-07-28","Scenario 5 - Add Product to Wishlist and Remove It","wishlistAddRemove.spec.js","",""
"","497","Test2 - Mock Booking Not Found","Chromium","2026-07-28","passed","2026-07-28","","APITesting\mockingInterception.spec.js","",""
"","412","Test3 POST create booking","Chromium","2026-07-28","passed","2026-07-28","","APITesting\allRequests.spec.js","",""
"","1058","Test 2 PUT request","Chromium","2026-07-22","passed","2026-07-22","","APITesting\allRequests.spec.js","",""
"","4892","Upload Single File","Chromium","2026-07-28","passed","2026-07-28","","UploadDownload.spec.js","",""
"","1059","Test 2 PUT request","API Tests","2026-07-22","passed","2026-07-22","","APITesting\allRequests.spec.js","",""
"","8304","Scenario 4 - Language Preference Change and Validation","Chromium","2026-07-28","passed","2026-07-28","","languagePreference.spec.js","",""
"","20798","Scenario 1 using mobile emulation - Product Search and Product Details Validation","Chromium","2026-07-28","passed","2026-07-28","","mobileEmulation.spec.js","",""
"","1500","Test5 Edge case - empty lastname","Chromium","2026-07-28","failed","2026-07-28","","APITesting\postTestCases.spec.js","",""
"","439","Test2 GET booking by Id","Chromium","2026-07-28","passed","2026-07-28","","APITesting\allRequests.spec.js","",""
"","8","Test 3 - Rename the wishlist","Chromium","2026-07-28","skipped","2026-07-28","Scenario 5 - Add Product to Wishlist and Remove It","wishlistAddRemove.spec.js","",""
"","608","Test1 - Mock GET All Bookings","Chromium","2026-07-28","passed","2026-07-28","","APITesting\mockingInterception.spec.js","",""
"","18931","Scenario 3 - Add product to cart and validate cart","Chromium","2026-07-28","passed","2026-07-28","","addAndValidateCart.spec.js","",""
"","1629","Test7 Edge case - special characters in first name","Chromium","2026-07-28","failed","2026-07-28","","APITesting\postTestCases.spec.js","",""
"","35157","Scenario 2 - Apply filters, sort and validate results","Chromium","2026-07-28","broken","2026-07-28","","filterSortPage.spec.js","",""
"","20132","Scenario 1 - Product search and product details validation","Chromium","2026-07-28","passed","2026-07-28","","ProductSearch.spec.js","",""
"","71219","Test 1 - Search for an item within the wishlist","Chromium","2026-07-28","broken","2026-07-28","Scenario 5 - Add Product to Wishlist and Remove It","wishlistAddRemove.spec.js","",""
"","366","Test2 POST Negative case - missing required field","Chromium","2026-07-28","failed","2026-07-28","","APITesting\postTestCases.spec.js","",""
"","3686","Download PDF File","Chromium","2026-07-22","passed","2026-07-22","","UploadDownload.spec.js","",""
"","1245","Test5 PATCH partial update booking","Chromium","2026-07-28","passed","2026-07-28","","APITesting\allRequests.spec.js","",""
"","1135","Test4 PUT update booking","Chromium","2026-07-28","passed","2026-07-28","","APITesting\allRequests.spec.js","",""
"","1546","Test3 POST negative case - invalid data type","Chromium","2026-07-28","failed","2026-07-28","","APITesting\postTestCases.spec.js","",""
"","3091","Test 3 - Search for an item within the wishlist","Chromium","2026-07-28","passed","2026-07-28","Scenario 5 - Add Product to Wishlist and Remove It","wishlistAddRemove.spec.js","",""
"","1409","Test1 POST create booking - positive scenario","Chromium","2026-07-28","passed","2026-07-28","","APITesting\postTestCases.spec.js","",""
